Company,ABN,SME,Manufacturer,website,Suburb,Postcode,Business type/products,,,,,,,,,,,,,,,,,,,,,,,,,,SECTORS,ADVANCED_TECHNOLOGIES,CREATIVE_INDUSTRIES,ENERGY,HEALTH,ADVANCED_MANUFACTURING,,,,,,
Austex Dies Pty Ltd,84105067267,Yes,Yes,austexdies.com,Minto,2566,"extrusion die manufacturer, CADCAM Design, a full range of CNC machining including Turning, Milling, EDM Erosion and Wire Cutting and in-house Heat Treatment facilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Food and Pharmaceuticals Industries,66603501891,,,www.foodpharmaindu.com,Bomaderry,2541,road closure (could have taken alternate route),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Lift Components,45056358153,Yes,Yes,ausliftcomp.com.au,Minto,2566,"designed and manufactured high-quality elevator fixtures for major projects and elevator companies in Australia for over 45 years. offices across Australia and can service overseas markets such as New Zealand, Papua New Guinea, Malaysia and China with dedicated sales personnel, specialist engineering and production teams whilst backed by the global resources of Dewhurst plc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Ultimate Suspension Pty Ltd,75164022014,Yes,Yes,www.ultimatesuspension.com.au,Ingleburn,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAB Aluminium Pty Ltd,24 003 658 259,yes,yes,www.babaluminium.com.au,Ingleburn,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Street,14002696755,Yes,Yes,www.bakerstreet.com.au,Corrimal,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald2Beautyfull,40668658628,Yes,No,www.bald2beautyfull.com,Sydney,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banlaw,88062044071,Yes,Yes,www.banlaw.com,Gateshead,2290,"design, engineer and manufacture a range of high performance diesel refuelling components including dry break nozzles, dry break receivers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCE Consulting Pty Ltd,49631097348,Yes,No,www.bceconsulting.com.au,Bungendore,2621,no website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach House Stairs Pty Ltd,72003880340,yes,yes,beachhousestairs.com.au,Batemans bay,2536,"custom design and installation of timber stairs, staircase products ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioural Insights (Australia),16613066541,Yes,No,www.bi.team,Sydney,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bespoke Medical Innovations,47601108623,Yes,Yes,https://bespokemedical.com.au,,,"Bespoke Medical Innovations Pty Ltd is an Australian based medical innovation company specialising in bespoke or custom solutions within the medical field. We use state of the art technologies that include 3D imaging, 3D printing, simulation technology, anatomical scanning, cloud computing, and custom-moulding techniques. Bespoke Medical has two primary business units; Orthopaedics, such as custom replacement knee joints, and Sleep Apnea solutions, such as our patent pending photogrammetry Nose Studio facial scanners and patent pending custom sleep apnea interfaces. The modern techniques coupled with numerous long-standing relationships with leading physicians, orthopaedic surgeons, general practitioners, design engineers and commercially experienced inventors provide the platform for Bespoke Medical to operate in this dynamic and fast-paced entrepreneurial environment that has the ability to change people’s lives for the better. Our core objective is the provision of quality products that are individually tailored to the patient and customer – providing improved outcomes compared with traditional compromised technologies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bestie Kitchen,70630372860,Yes,Yes,bestiekitchen.com,Mayfield West,2304,Natural health chews & toppers that help dogs and cats age well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomed Technology / PolySpine,55106244008,yes,yes,https://polyspine.com,Belmore,2192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bisalloy Steels,27 001 641 292,Yes,Yes,www.bisalloy.com.au,Wollongong,2526,steel manufacturer & supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bliss & Reels,33113256527,Yes,No,www.blissandreels.com.au,Bundoora,3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluerydge,12780465562,Yes,Yes,https://bluerydge.com/,Canberra,2601,veteran-owned and operated firm specialising in providing cyber security and technology services within Government and Defence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosch ,48004315628,No,,https://www.boschmanufacturing.com.au/,Marsden Park,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breseight Australia,33064257538,Yes,Yes,https://www.breseightgroup.com.au/,Ingleburn,2565,"engineering service for 3D Printing and CNC Milling, Precision Engineering, Manufacturing and Rapid Prototyping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Cummins Group,91003692500,Yes,Yes,https://www.briancummins.com.au/,Ingleburn,2565,"operates manufacturing plants in Sydney and Malaysia. BCG’s products and services span retail equipment manufacture, facilities maintenance and flooring, from ‘off the shelf’ to bespoke solutions including industrial design and installation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadband Tooling Pty Ltd ,63104701804,Yes,yes,broadbandandtooling.com.au,Prestons ,2170,"We have extensive experience in Blow Moulding, Injection Moulding and Press Tool design and manufacture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Drivers Ltd,63129466468,Yes,Yes,www.bizdrivers.biz,Charlestown,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter,36609337466,Yes,No,www.buttersydney.com.au,Surry Hills,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV Solutions Pty Ltd,83627275932,Yes,No,https://www.foodbevhub.com.au/,MARSDEN PARK,2765,advisory for food & beverage industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2A Consulting Pty Ltd,27 925 082 446,Yes,No,https://c2aconsulting.com.au/,Evatt,2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannim Australia,48624059632,Yes,Yes,www.cannim.com,,,"Based in Sydney, Australia, Cannim was established in 2017 to bring the benefits of medicinal cannabis to the world. Back in 2017, Cannabis was still stigmatised and cultivation considered an art form. Built on the 3 core pillars of Safety, Science, and Scale, Cannim established an organisation that could show people that Cannabis was a real medicine, consistently develop it to pharmaceutical standards, and establish networks to reach a wide audience of needy people. Just 4 years later, Cannim cultivates in Jamaica and Australia, and established a network of EU GMP manufacturers as well as formed alliances in education and healthcare, offering products & services to bring relief in many forms to people across the world. This industry is nascent and this is only the beginning of the journey to establish Cannabis as a reputable medicine around the world. Cannim continues to create scale in its operations, giving us the ability to meet the needs of the ever-growing body of medicinal cannabis users. Cannim is pioneering the development of the category, creating new ways of administration for patients, leading research and education into the effects of cannabis on a variety of conditions, pioneering its usefulness for others, and ensuring those in need get what they need when they need it at a price that’s fair. Core brands are: Hemp Beer Co. Lumir and Hummingbud (medicinal cannibis), GlowBud skincare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capral Limited,78 004 213 692,No,Yes,www.capral.com.au,Campbellfield,3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbonix,60166140307,Yes,Yes,carbonix.com.au,Artarmon,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCFA,51605544226,Yes,No,https://centralcoastfoodalliance.com.au/,Terrigal,2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Steel,45644737379,Yes,Yes,Cedar Steel: Structural Steel Supplier Sydney | Residential & Commercial,Padstow Heights,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrum Group,87095490252,Yes,yes,www.centrumprinting.com.au,Chipping Norton,2170,"Commercial printing company Australia with 3D design, digital, large format printing with high quality print solutions. To become an industry leader in printing and packaging by training new generations of Australians and delivering the highest quality products at the most affordable price.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centurion Systems,71614455560,No,Yes,https://www.c-systems.com.au/,Queanbeyan,2620,aluminium balustrade manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamberlain Australia,67118013362,Yes,Yes,https://chamberlaingroup.com/,Gosford,2250,smart access solutions across residential and commercial properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Macleod,33 090 555 052,No,No,chandlermacleod.com,Newcastle,2300,recruitment agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos1,96645323520,Yes,No,chaos1.au,Sydney,2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHESS Engineering,37 000 615 056,Yes,Yes,https://chessindustries.com.au/,padstow,2211,"manufacturer of heavy boiler shops, sheet metal, mild steel, stainless steel and other materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChezLeon Pty Ltd,158295282,Yes,Yes,chezleon.com.au,WARATAH,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circuitwise Electronics Manufacturing,90003364056,Yes,yes,https://www.circuitwise.com.au,,,contract electronics manufacturer specialising in complex electronics devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civion Construction,55127408584,Yes,Yes,https://www.civionconstruction.com/,Beard,2620,aluminum façade solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Coachworks,61079162155,Yes,Yes,https://classiccoachworks.com.au,Mortdale,2223,"Classic Coachworks designs and manufacturers interior products and provides services to the rail, aerospace, bus, motor, marine, defense and other transport industries. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Sea Fisheries Pty Ltd,30637575803,Yes,No,NorthernRiversMarineServices.com,Iluka,2466,Follow-up email sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldbuster Floor Heating,24104228027,Yes,No,Coldbuster.com.au,St Ives,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConceptSix Pty Ltd,54 641 263 238,Yes,Yes,https://www.conceptsix.com.au/,Canberra,2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossmuller,98088327093,Yes,Yes,www.crossmuller.com.au,Somersby,2250,"maufacturing, electronics, systems integration and MES (Manufacturing Execution System) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Craft Brewing Pty Ltd,24643292175,Yes,Yes,www.thesocialbrewers.com.au,Mortdale,2223,beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daikin Australia,62000172967,No,Yes,https://www.daikin.com.au/,Chipping Norton,2170,air conditioning manufacturing company ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davka Beauty,38625545575,Yes,n,https://davkabeauty.com.au,Leumeah,2560,"Davka Beauty import the very latest in fragrances from over 100 sources around the world.  Unlike many other perfume wholesalers, Davka Beauty does not sell to the public therefore protecting the integrity of the relationship with retailers, rather than competing with them. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBC Group Australia,23082302716,Yes,No,www.dbcgroup.com.au,Bulli,2516,rope access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deco Australia,38108720118,Yes,Yes,www.deco.net.au,Minto,2566,"Family business, factory in Minto. innovator in aluminium building products and metal finishing technologies. Designs for homes with cladding etc; Strong, durable and easily recycled, aluminium provides a sustainable alternative to timber, wood composites and PVC building products.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DigitalX Technology Group Pty Ltd,64656442769,Yes,Yes,DigitalX.net.au,Earlwood,2206,"services around deep learning, cloud AI integration, IoT ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynelec,12001472377,Yes,Yes,Www.dynelec.com.au,Unanderra,2526,Electrical Switchboard Manufacturers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Outdoors Group,94005451007,Yes,Yes,www.eagleoutdoors.com.au,Moruya,2537,manufacturer of outdoors equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Coast Canning,79613274605,Yes,yes,eastcoastcanning.com.au,Culburra Beach,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCastle Pty Ltd,74 125 870 037,Yes,No,www.ecastle.com.au ,Fyshwick,2609,"specialists in deployable and expeditionary communication systems providing solutions across (1) battery, fuel cell, power management, (2) inter-agency command-and-control, (3) battlespace awareness, (4) vision AI, (5)communications systems and infrastructure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECRE,50614528808,Yes,no,www.stitch.coffee,Alexandria,2015,Invited to CBCity futuremap workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
